station,target,algo,variant_id,window_size,feature_variant,params,rmse_mean,rmse_std,r2_mean,mae_mean,holdout_rmse,holdout_r2,n_train_avg,n_folds,train_time_sec,feature_importances,error
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#005,28,calendar,"{""learning_rate"": 0.05, ""max_depth"": -1, ""min_data_in_leaf"": 10, ""n_estimators"": 600, ""num_leaves"": 15, ""reg_lambda"": 0.1}",5.03541422206145,2.973341077227065,0.15218852939964983,3.2219773384624966,0.4912202000734816,0.0,157.0,5,2.6670847999994294,"{""TasaSeveros_lag1"": 0.010216346153846154, ""day_cos"": 0.01670673076923077, ""dpv_lag10"": 0.01610576923076923, ""dpv_lag13"": 0.011177884615384616, ""dpv_lag14"": 0.018149038461538463, ""dpv_lag15"": 0.014663461538461538, ""dpv_lag3"": 0.01201923076923077, ""humedad_Hd05_lag15"": 0.012139423076923077, ""pluv_lag24"": 0.020552884615384615, ""tmax_lag1"": 0.011298076923076923, ""tmax_lag17"": 0.015985576923076922, ""tmin_lag12"": 0.013701923076923077, ""tmin_lag18"": 0.010456730769230769, ""tmin_lag2"": 0.0125, ""tmin_lag20"": 0.016466346153846154}",
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#006,5,robust_smoothing,"{""learning_rate"": 0.1, ""max_depth"": 12, ""min_data_in_leaf"": 40, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_lambda"": 0.1}",,,,,,,92.0,2,0.10049530000105733,{},early_stopped_worse_than_baseline
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#007,14,robust_smoothing,"{""learning_rate"": 0.1, ""max_depth"": 8, ""min_data_in_leaf"": 40, ""n_estimators"": 600, ""num_leaves"": 15, ""reg_lambda"": 1.0}",,,,,,,92.0,2,0.12288450000050943,{},early_stopped_worse_than_baseline
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#008,10,irrigation_memory,"{""learning_rate"": 0.01, ""max_depth"": 8, ""min_data_in_leaf"": 40, ""n_estimators"": 1200, ""num_leaves"": 15, ""reg_lambda"": 1.0}",,,,,,,85.0,2,0.14889460000267718,{},early_stopped_worse_than_baseline
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#009,21,stress_indices,"{""learning_rate"": 0.05, ""max_depth"": -1, ""min_data_in_leaf"": 20, ""n_estimators"": 1200, ""num_leaves"": 63, ""reg_lambda"": 1.0}",,,,,,,85.0,2,0.47989660000166623,{},early_stopped_worse_than_baseline
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#010,2,full,"{""learning_rate"": 0.03, ""max_depth"": 8, ""min_data_in_leaf"": 10, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_lambda"": 1.0}",4.996114722952763,2.302518342376313,0.22091475483849488,2.9903180842259323,0.4005429947288575,0.0,156.0,5,1.6153113000036683,"{""TasaSeveros_ema30"": 0.02978266702441642, ""TasaSeveros_ema70"": 0.014220552723370002, ""day_cos"": 0.02522135766031661, ""dpv_diff1d"": 0.014220552723370002, ""dpv_lag14"": 0.019586799034075664, ""humedad_Hd05_lag1"": 0.024953045344781325, ""humedad_Hd05_lag14"": 0.017976925140863964, ""humedad_Hd15_lag1"": 0.014354708881137644, ""humedad_Hd65_diff1d"": 0.023074859136034343, ""humedad_Hd75_diff1d"": 0.015427958143278776, ""humedad_profile_std"": 0.020794204453984437, ""tmax_lag1"": 0.01395224040783472, ""tmin_diff1d"": 0.029380198551113495, ""tmin_lag14"": 0.04319828280118057, ""tmin_lag2"": 0.01395224040783472}",
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#011,3,full,"{""learning_rate"": 0.01, ""max_depth"": -1, ""min_data_in_leaf"": 40, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 1.0}",,,,,,,85.0,2,0.0628733999983524,{},early_stopped_worse_than_baseline
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#012,2,basic,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_data_in_leaf"": 20, ""n_estimators"": 600, ""num_leaves"": 63, ""reg_lambda"": 0.0}",5.039256857257098,4.542897053488364,-0.122694489810347,3.9298429085419366,1.3546808827465198,0.0,163.0,5,0.6129003999958513,"{""TasaSeveros_lag1"": 0.031082529474812434, ""day_cos"": 0.04823151125401929, ""dpv"": 0.030814576634512324, ""dpv_lag1"": 0.03135048231511254, ""dpv_roll2d"": 0.02947481243301179, ""humedad_Hd05"": 0.027867095391211148, ""humedad_Hd05_lag1"": 0.027063236870310824, ""humedad_Hd15_lag1"": 0.04742765273311897, ""humedad_Hd45"": 0.03617363344051447, ""humedad_Hd55"": 0.0334941050375134, ""tmax"": 0.04287245444801715, ""tmax_lag1"": 0.04072883172561629, ""tmax_lag2"": 0.03161843515541265, ""tmin_lag2"": 0.03269024651661308, ""tmin_roll2d"": 0.02652733118971061}",
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#013,3,target_only,"{""learning_rate"": 0.01, ""max_depth"": 5, ""min_data_in_leaf"": 5, ""n_estimators"": 1200, ""num_leaves"": 15, ""reg_lambda"": 0.0}",3.940899604962283,2.7556984441351022,0.18106499146719385,2.2659459995529447,0.5824418761781635,0.0,161.0,5,1.4213589999999385,"{""TasaSeveros_diff1d"": 0.010476689366160294, ""TasaSeveros_ema30"": 0.4154007333682556, ""TasaSeveros_ema70"": 0.11122751877073511, ""TasaSeveros_lag1"": 0.02715208660729876, ""TasaSeveros_lag2"": 0.004714510214772132, ""TasaSeveros_lag3"": 0.010651300855596298, ""TasaSeveros_median14d"": 0.03954950235725511, ""TasaSeveros_median7d"": 0.014143530644316397, ""TasaSeveros_roll14d"": 0.21110529072812992, ""TasaSeveros_roll3d"": 0.02069146149816658, ""TasaSeveros_roll7d"": 0.13488737558931377}",
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#014,10,calendar,"{""learning_rate"": 0.03, ""max_depth"": 5, ""min_data_in_leaf"": 5, ""n_estimators"": 1200, ""num_leaves"": 127, ""reg_lambda"": 0.0}",4.581872417127721,4.707128741569918,-0.018913358705804885,3.371445427096603,0.5333488774601417,0.0,161.0,5,3.5697587999966345,"{""TasaSeveros_lag1"": 0.013751611516974646, ""day_cos"": 0.03369144821658788, ""day_sin"": 0.015126772668672111, ""dpv_lag10"": 0.02251826385904598, ""humedad_Hd05_lag10"": 0.013579716373012462, ""humedad_Hd45_lag1"": 0.01400945423291792, ""humedad_Hd45_lag10"": 0.014782982380747744, ""humedad_Hd45_lag9"": 0.017791147400085947, ""humedad_Hd55_lag1"": 0.01633003867640739, ""humedad_Hd55_lag9"": 0.014353244520842285, ""tmax_lag1"": 0.01847872797593468, ""tmax_lag10"": 0.013923506660936828, ""tmax_lag2"": 0.015900300816501935, ""tmax_lag3"": 0.014954877524709927, ""tmax_lag4"": 0.014439192092823377}",
